Open_time,Open,High,Low,Close,Volume,Spread,MA7,MA21,Lag_1,Lag_2,Lag_3,Target_3d,Daily_Return,Volatility_7d,RSI
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,774.46,8170.871428571429,,8110.34,8184.98,8020.01,8913.28,8.626888638454133,4.2333032467621665,74.84974272495353
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,352.47999999999956,8280.218571428572,,8810.01,8110.34,8184.98,8915.96,0.12939826402011967,4.14688397103386,74.93798435297522
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,273.8099999999995,8409.111428571428,,8821.41,8810.01,8110.34,8701.7,-1.1494761041602186,3.8797257042715576,78.15493156664871
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,369.2099999999991,8511.434285714286,,8720.01,8821.41,8810.01,8642.35,2.216396540829657,3.6358066805812155,76.7680732967851
2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545,182.5,8639.427142857143,,8913.28,8720.01,8821.41,8736.03,0.030067494794261407,3.3777906851254587,76.71664973195257
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,732.9799999999996,8713.244285714285,,8915.96,8913.28,8720.01,8682.36,-2.4031063396426022,3.6781812823035667,71.43500148438527
2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746,225.70999999999913,8789.245714285715,,8701.7,8915.96,8913.28,8404.52,-0.6820506337842036,3.6599353495833973,65.83318711932141
2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659,301.0,8778.677142857143,8132.119047619048,8642.35,8701.7,8915.96,8439.0,1.0839644309707408,1.504476001970158,61.819207637919135
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,228.0,8758.812857142857,8202.667142857143,8736.03,8642.35,8701.7,8340.58,-0.6143522858781392,1.5109435814880245,62.71331612190888
2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597,385.4200000000001,8713.742857142857,8271.181904761905,8682.36,8736.03,8642.35,8615.0,-3.200051598874043,1.876448486476497,61.72066637369663
2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529,290.02000000000044,8645.988571428572,8323.279047619048,8404.52,8682.36,8736.03,8907.57,0.41025543398076625,1.531579381295963,55.60574891582341
